epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.6893,1.4431,1.51202,1.17988,0.02263,0.6328,0.0203,0.01059,1.55207,32.1259,1.68483,0.000661499,0.000661499,0.000661499
2,124.746,1.48942,1.09311,1.24351,0.11128,0.3549,0.06637,0.03137,1.8603,6.00473,2.20491,0.00131502,0.00131502,0.00131502
3,186.43,1.49493,1.04429,1.24901,0.31888,0.44692,0.27153,0.13075,1.69853,4.03859,1.63602,0.00195533,0.00195533,0.00195533
4,247.235,1.44671,0.96023,1.21844,0.70709,0.61549,0.65682,0.34247,1.59631,1.89516,1.57979,0.0019406,0.0019406,0.0019406
5,307.82,1.40169,0.93805,1.21078,0.88031,0.58974,0.71379,0.37339,1.57037,1.53526,1.53386,0.0019208,0.0019208,0.0019208
6,368.665,1.39844,0.88548,1.18112,0.85768,0.73304,0.81676,0.43651,1.58616,1.12373,1.52385,0.001901,0.001901,0.001901
7,429.27,1.37119,0.84696,1.18167,0.75157,0.63462,0.72537,0.37708,1.66509,1.2708,1.57647,0.0018812,0.0018812,0.0018812
8,489.825,1.37364,0.80048,1.17263,0.86253,0.8205,0.87942,0.49344,1.46433,0.92364,1.39253,0.0018614,0.0018614,0.0018614
9,550.566,1.32819,0.77285,1.15384,0.76701,0.78439,0.80481,0.44489,1.50377,1.13253,1.50121,0.0018416,0.0018416,0.0018416
10,611.067,1.31779,0.76328,1.14696,0.87461,0.82936,0.86662,0.45316,1.56756,0.9268,1.5205,0.0018218,0.0018218,0.0018218
11,671.807,1.30496,0.74092,1.14137,0.89192,0.80046,0.87704,0.4914,1.48448,0.91862,1.4148,0.001802,0.001802,0.001802
12,732.599,1.28121,0.73255,1.12665,0.91329,0.83493,0.89283,0.49051,1.49146,0.87666,1.47057,0.0017822,0.0017822,0.0017822
13,792.951,1.29542,0.71522,1.13082,0.92108,0.82506,0.89809,0.49106,1.49269,0.89316,1.40321,0.0017624,0.0017624,0.0017624
14,853.692,1.27782,0.69647,1.12945,0.88273,0.83098,0.87446,0.46637,1.52284,0.8736,1.47406,0.0017426,0.0017426,0.0017426
15,914.308,1.28965,0.69171,1.13414,0.86266,0.81268,0.86677,0.46703,1.50244,0.93463,1.41638,0.0017228,0.0017228,0.0017228
16,974.952,1.27622,0.71241,1.11741,0.88341,0.8369,0.89818,0.50315,1.45708,0.84141,1.39151,0.001703,0.001703,0.001703
17,1035.72,1.2706,0.67744,1.10192,0.8943,0.82916,0.87662,0.50695,1.42091,0.83763,1.4137,0.0016832,0.0016832,0.0016832
18,1096.49,1.25725,0.66361,1.10832,0.94219,0.86867,0.92679,0.51757,1.46916,0.75713,1.42512,0.0016634,0.0016634,0.0016634
19,1157.03,1.23047,0.63119,1.09355,0.94486,0.87438,0.92145,0.5235,1.43342,0.74832,1.40422,0.0016436,0.0016436,0.0016436
20,1217.57,1.24605,0.65579,1.10598,0.94922,0.87107,0.92437,0.50093,1.48243,0.7768,1.42983,0.0016238,0.0016238,0.0016238
21,1278.06,1.25695,0.64661,1.10003,0.94932,0.85148,0.9239,0.53622,1.42315,0.77764,1.43047,0.001604,0.001604,0.001604
22,1339.02,1.24166,0.63863,1.10907,0.9448,0.88108,0.92966,0.51717,1.48214,0.72174,1.41623,0.0015842,0.0015842,0.0015842
23,1399.61,1.21025,0.62161,1.0872,0.8939,0.84057,0.9055,0.5202,1.46037,0.80763,1.42101,0.0015644,0.0015644,0.0015644
24,1460.17,1.22116,0.62065,1.09305,0.9425,0.86625,0.92169,0.51465,1.48625,0.75889,1.4808,0.0015446,0.0015446,0.0015446
25,1520.59,1.22395,0.62084,1.09753,0.88287,0.8451,0.90124,0.52652,1.3802,0.78241,1.31411,0.0015248,0.0015248,0.0015248
26,1580.99,1.20296,0.6073,1.08745,0.96198,0.88764,0.93892,0.54228,1.42829,0.69803,1.39073,0.001505,0.001505,0.001505
27,1641.72,1.19871,0.58265,1.078,0.92161,0.87927,0.92157,0.52538,1.46611,0.73851,1.46113,0.0014852,0.0014852,0.0014852
28,1702.06,1.19275,0.59819,1.07846,0.9499,0.88113,0.92924,0.50947,1.51434,0.73041,1.48709,0.0014654,0.0014654,0.0014654
29,1762.42,1.18293,0.59256,1.07011,0.95312,0.88474,0.93384,0.53,1.48906,0.6993,1.48395,0.0014456,0.0014456,0.0014456
30,1823.3,1.18535,0.58766,1.08394,0.94859,0.88929,0.93581,0.49477,1.49485,0.74769,1.50052,0.0014258,0.0014258,0.0014258
31,1883.81,1.19817,0.59308,1.07666,0.94048,0.88702,0.93679,0.53812,1.42086,0.6912,1.39332,0.001406,0.001406,0.001406
32,1944.3,1.15985,0.5781,1.05995,0.94863,0.9002,0.94121,0.5216,1.49455,0.69494,1.47798,0.0013862,0.0013862,0.0013862
33,2004.93,1.18294,0.57934,1.07429,0.96178,0.8828,0.93767,0.52138,1.48867,0.69433,1.49513,0.0013664,0.0013664,0.0013664
34,2065.32,1.15702,0.56862,1.05989,0.93677,0.88246,0.93632,0.52527,1.45344,0.70327,1.42039,0.0013466,0.0013466,0.0013466
35,2126.26,1.18105,0.57182,1.06689,0.93208,0.87973,0.92656,0.5081,1.54469,0.71498,1.56857,0.0013268,0.0013268,0.0013268
36,2186.66,1.1557,0.56835,1.05388,0.91955,0.85239,0.91504,0.50193,1.49955,0.75085,1.50662,0.001307,0.001307,0.001307
37,2247.09,1.16275,0.5616,1.06228,0.94882,0.90363,0.94501,0.56367,1.3672,0.66379,1.37036,0.0012872,0.0012872,0.0012872
38,2307.84,1.14407,0.5568,1.06176,0.95421,0.89704,0.93823,0.55809,1.39511,0.66052,1.42638,0.0012674,0.0012674,0.0012674
39,2368.24,1.15387,0.55373,1.05897,0.94295,0.8584,0.92495,0.53138,1.44647,0.7171,1.45357,0.0012476,0.0012476,0.0012476
40,2428.6,1.12856,0.55595,1.04504,0.95792,0.90233,0.94315,0.53381,1.43402,0.65356,1.3987,0.0012278,0.0012278,0.0012278
41,2489.15,1.14267,0.54552,1.04628,0.9428,0.89157,0.93952,0.52822,1.44771,0.66352,1.44049,0.001208,0.001208,0.001208
42,2549.87,1.13621,0.53908,1.0503,0.91672,0.89112,0.9342,0.53313,1.50161,0.69171,1.53922,0.0011882,0.0011882,0.0011882
43,2610.44,1.13037,0.53948,1.0401,0.94269,0.89841,0.9433,0.54504,1.45471,0.65469,1.44574,0.0011684,0.0011684,0.0011684
44,2671.19,1.13363,0.53456,1.05234,0.94856,0.88208,0.93497,0.55529,1.40884,0.67335,1.40251,0.0011486,0.0011486,0.0011486
45,2732.11,1.12007,0.54197,1.04483,0.93976,0.85285,0.92824,0.52127,1.47022,0.72638,1.48826,0.0011288,0.0011288,0.0011288
46,2792.92,1.10629,0.5361,1.04258,0.96925,0.90481,0.9504,0.53214,1.45571,0.65156,1.47612,0.001109,0.001109,0.001109
47,2853.69,1.10801,0.5305,1.03607,0.95505,0.90023,0.94574,0.53788,1.4522,0.63409,1.45382,0.0010892,0.0010892,0.0010892
48,2914.17,1.10959,0.53471,1.03592,0.95477,0.88793,0.93327,0.53349,1.4857,0.67797,1.52387,0.0010694,0.0010694,0.0010694
49,2974.95,1.10235,0.52048,1.03255,0.95311,0.90524,0.94362,0.489,1.56257,0.66618,1.59941,0.0010496,0.0010496,0.0010496
50,3035.5,1.08799,0.50966,1.03534,0.95386,0.90114,0.93988,0.54198,1.43084,0.64388,1.45053,0.0010298,0.0010298,0.0010298
51,3095.93,1.10212,0.51316,1.03235,0.93962,0.90037,0.94298,0.52801,1.47723,0.65702,1.54419,0.00101,0.00101,0.00101
52,3156.44,1.0884,0.50936,1.03206,0.96045,0.89614,0.94324,0.54471,1.44289,0.65174,1.47099,0.0009902,0.0009902,0.0009902
53,3216.91,1.10604,0.51654,1.03211,0.95458,0.90068,0.94345,0.50758,1.52968,0.66344,1.58529,0.0009704,0.0009704,0.0009704
54,3277.48,1.08272,0.50376,1.02686,0.92314,0.91922,0.94272,0.50738,1.50829,0.66773,1.56779,0.0009506,0.0009506,0.0009506
55,3338.1,1.08684,0.51344,1.03172,0.94888,0.89634,0.93813,0.55104,1.42003,0.65703,1.4256,0.0009308,0.0009308,0.0009308
56,3398.52,1.06962,0.49795,1.02014,0.96178,0.90566,0.94753,0.53571,1.45513,0.63034,1.45898,0.000911,0.000911,0.000911
57,3458.95,1.07115,0.50003,1.02657,0.94985,0.91708,0.94801,0.52102,1.51388,0.63499,1.56709,0.0008912,0.0008912,0.0008912
58,3519.57,1.05932,0.4948,1.02025,0.96751,0.89385,0.94651,0.52801,1.47494,0.63687,1.53487,0.0008714,0.0008714,0.0008714
59,3580.06,1.05738,0.49194,1.02096,0.95672,0.91663,0.95202,0.55526,1.4069,0.61051,1.4387,0.0008516,0.0008516,0.0008516
60,3640.88,1.05894,0.48616,1.01837,0.95901,0.90478,0.94563,0.51634,1.52001,0.64087,1.62099,0.0008318,0.0008318,0.0008318
61,3701.37,1.04286,0.48284,1.01705,0.96569,0.91046,0.94982,0.55565,1.42027,0.60481,1.46427,0.000812,0.000812,0.000812
62,3761.86,1.05355,0.48155,1.02372,0.9544,0.92255,0.94995,0.5547,1.4272,0.60265,1.46533,0.0007922,0.0007922,0.0007922
63,3822.63,1.0362,0.47632,1.01137,0.96094,0.91918,0.9521,0.53764,1.44423,0.60469,1.48247,0.0007724,0.0007724,0.0007724
64,3883.59,1.04163,0.47255,1.01385,0.95558,0.90888,0.94475,0.5568,1.4199,0.60423,1.43993,0.0007526,0.0007526,0.0007526
65,3944.17,1.02794,0.47427,1.00438,0.96621,0.91572,0.94512,0.51559,1.50976,0.61768,1.56663,0.0007328,0.0007328,0.0007328
66,4005.13,1.02599,0.47219,1.01081,0.96214,0.90615,0.94637,0.53145,1.4795,0.6204,1.507,0.000713,0.000713,0.000713
67,4065.7,1.02029,0.46549,1.00428,0.97,0.89932,0.94815,0.54683,1.45147,0.61901,1.48148,0.0006932,0.0006932,0.0006932
68,4126.08,1.01785,0.46058,1.00219,0.96034,0.90452,0.94873,0.5467,1.45002,0.61407,1.47439,0.0006734,0.0006734,0.0006734
69,4186.49,1.01636,0.47084,1.01599,0.95724,0.92118,0.95082,0.54436,1.45909,0.60415,1.50203,0.0006536,0.0006536,0.0006536
70,4246.99,0.99905,0.46133,1.00458,0.96198,0.91526,0.95029,0.55754,1.42198,0.60527,1.4876,0.0006338,0.0006338,0.0006338
71,4307.58,0.99648,0.45551,1.00182,0.9614,0.91901,0.94793,0.53894,1.48164,0.6162,1.57584,0.000614,0.000614,0.000614
72,4368.2,0.98293,0.44708,0.9985,0.95487,0.90159,0.94668,0.53708,1.48301,0.61859,1.53796,0.0005942,0.0005942,0.0005942
73,4428.68,0.98391,0.44815,0.99231,0.95808,0.91025,0.94651,0.53305,1.48387,0.60935,1.54563,0.0005744,0.0005744,0.0005744
74,4489.43,0.97523,0.44575,0.99621,0.94098,0.9139,0.9413,0.5579,1.4129,0.60482,1.44982,0.0005546,0.0005546,0.0005546
75,4549.99,0.97824,0.44393,0.98927,0.95085,0.91982,0.94763,0.54877,1.44959,0.6029,1.50677,0.0005348,0.0005348,0.0005348
76,4610.65,0.97263,0.44582,0.98899,0.95879,0.90752,0.94391,0.54813,1.42813,0.61089,1.48021,0.000515,0.000515,0.000515
77,4671.1,0.96383,0.43862,0.99293,0.95758,0.89464,0.94053,0.52591,1.47533,0.62787,1.53312,0.0004952,0.0004952,0.0004952
78,4731.61,0.96437,0.43486,0.99725,0.96367,0.90625,0.95026,0.56105,1.42895,0.59583,1.47723,0.0004754,0.0004754,0.0004754
79,4792.4,0.96123,0.43706,0.98988,0.96484,0.89522,0.94825,0.5346,1.48408,0.62044,1.55674,0.0004556,0.0004556,0.0004556
80,4853.3,0.93139,0.42372,0.97851,0.97176,0.90921,0.95066,0.55511,1.43694,0.60401,1.47224,0.0004358,0.0004358,0.0004358
81,4914.47,0.93156,0.42293,0.977,0.96976,0.90585,0.95039,0.55881,1.42858,0.58089,1.44061,0.000416,0.000416,0.000416
82,4975.38,0.93489,0.41922,0.97456,0.97031,0.9081,0.95403,0.55009,1.46457,0.59006,1.51482,0.0003962,0.0003962,0.0003962
83,5036.28,0.93725,0.4255,0.98252,0.96738,0.91572,0.95108,0.55289,1.4398,0.58614,1.48392,0.0003764,0.0003764,0.0003764
84,5096.98,0.90845,0.41307,0.9708,0.97363,0.90833,0.95136,0.55257,1.44326,0.59398,1.49771,0.0003566,0.0003566,0.0003566
85,5157.64,0.92535,0.41296,0.96883,0.96867,0.91071,0.95007,0.55092,1.4406,0.5851,1.51476,0.0003368,0.0003368,0.0003368
86,5218.34,0.90798,0.41253,0.97035,0.97006,0.90888,0.95185,0.56686,1.42356,0.58055,1.48189,0.000317,0.000317,0.000317
87,5279.3,0.90632,0.41218,0.96632,0.97084,0.91017,0.94863,0.56129,1.43466,0.57826,1.48926,0.0002972,0.0002972,0.0002972
88,5339.96,0.89407,0.41125,0.96912,0.96265,0.92528,0.95007,0.55341,1.4345,0.57337,1.49482,0.0002774,0.0002774,0.0002774
89,5400.48,0.9066,0.40288,0.97037,0.94867,0.92027,0.9472,0.5468,1.46038,0.59352,1.518,0.0002576,0.0002576,0.0002576
90,5461.18,0.88976,0.4048,0.96804,0.96339,0.90979,0.94842,0.55436,1.44114,0.5847,1.49307,0.0002378,0.0002378,0.0002378
91,5522.29,0.91321,0.3914,0.96826,0.96639,0.90387,0.94895,0.54369,1.47236,0.59705,1.54638,0.000218,0.000218,0.000218
92,5582.7,0.89023,0.3767,0.9579,0.96199,0.91098,0.94664,0.55035,1.45141,0.59016,1.51059,0.0001982,0.0001982,0.0001982
93,5643.58,0.89603,0.37882,0.95992,0.959,0.91641,0.94684,0.5477,1.46786,0.5894,1.51468,0.0001784,0.0001784,0.0001784
94,5704.28,0.87745,0.37371,0.96184,0.96323,0.90697,0.94585,0.54908,1.46273,0.59186,1.50392,0.0001586,0.0001586,0.0001586
95,5765.09,0.87668,0.36803,0.95589,0.9555,0.91253,0.94649,0.54754,1.45969,0.58885,1.50872,0.0001388,0.0001388,0.0001388
96,5826.06,0.86104,0.3655,0.95229,0.96587,0.90251,0.94757,0.55035,1.4601,0.59355,1.51177,0.000119,0.000119,0.000119
97,5886.73,0.85036,0.3633,0.943,0.96167,0.90251,0.94628,0.54787,1.46907,0.60142,1.51213,9.92e-05,9.92e-05,9.92e-05
98,5947.3,0.85892,0.36078,0.94697,0.96847,0.90205,0.94947,0.55181,1.46028,0.59334,1.52059,7.94e-05,7.94e-05,7.94e-05
99,6007.94,0.83756,0.35654,0.94381,0.96256,0.90177,0.94727,0.55496,1.45386,0.59488,1.50702,5.96e-05,5.96e-05,5.96e-05
100,6068.58,0.83754,0.35628,0.94118,0.95854,0.90572,0.94728,0.55287,1.45985,0.59475,1.5137,3.98e-05,3.98e-05,3.98e-05
